Default,Loan Amount,term,Interest Rate,Installment,Grade,Sub-Grade,Employment Title,Employment Length,Home Ownership,Annual Income,Verified Income,Issue Date,Loan Status,Payment Plan,purpose,title,Zip Code,State,Monthly Debt to Income Ratio,Delinquencies Over 2 Years,Earliest Credit Line,Inquiries Last 6 Months,Months Since Last Delinquincy,Months Since Last Public Record,Open Credit Lines,Derogatory Public Records,Credit Revolving Balance,Credit Utilization Rate,Total Credit Lines,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit
N,24550, 36 months,0.18,893.59,D,D5,Production Team Lead,5 years,MORTGAGE,170000,Not Verified,16-Jan,Fully Paid,n,small_business,Business,333xx,FL,2.42,0,5-Jun,2,61,,16,0,4634,0.24,24,16-Feb,24940.62,,16-Feb,0,61,INDIVIDUAL,,,,0,0,471763,1,0,0,0,35,5497,79,3,9,1213,33,19400,2,2,5,12,29485,10340,12.4,0,0,87,49,10,2,6,10,,0,,2,4,7,7,8,5,11,12,8,16,0,0,0,5,95.5,0,0,0,498441,10131,11800,6976
Y,15000, 36 months,0.12,498.15,C,C1,Sales agent,< 1 year,MORTGAGE,108000,Source Verified,16-Jan,Charged Off,n,small_business,Business,328xx,FL,18.03,0,2-Jul,0,72,,14,0,12058,0.67,18,16-Feb,498.15,,16-Oct,0,72,INDIVIDUAL,,,,0,0,245949,1,5,1,1,11,34138,67,1,3,4268,64,18100,0,0,2,5,18919,3542,77.3,0,0,161,103,5,5,1,5,72,2,72,1,5,5,6,9,6,7,10,5,14,0,0,0,2,94.4,40,0,0,278227,46525,15600,50916
N,28000, 36 months,0.14,963.25,C,C4,Owner,10+ years,RENT,128000,Verified,16-Mar,Fully Paid,n,small_business,,076xx,NJ,17.4,0,Jan-90,1,47,38,10,2,35389,0.71,19,16-Mar,28147.9,,16-May,0,,INDIVIDUAL,,,,0,0,75664,2,2,2,2,3,40275,89,0,3,16494,79,50100,0,0,4,5,9458,12611,73.7,0,0,122,312,13,3,3,33,,1,,0,3,3,4,4,5,7,9,3,10,0,0,0,2,94.4,66.7,0,0,95554,75664,48000,45454
N,25000, 36 months,0.14,860.04,C,C4,Sales Consultant,8 years,RENT,214000,Source Verified,16-Feb,Fully Paid,n,small_business,Business,920xx,CA,4.96,0,2-Jul,0,75,,5,0,17744,0.43,16,16-Mar,25497.6,,16-Apr,0,,INDIVIDUAL,,,,0,0,352206,0,1,1,2,8,23376,74,0,0,10937,56,41600,0,1,1,2,70441,23256,43.3,0,0,134,163,30,8,7,146,,11,,0,2,2,2,2,6,3,3,2,5,0,0,0,1,86.7,0,0,0,433931,41120,41000,31739
N,2800, 36 months,0.13,94.33,C,C2,massage therapist,3 years,MORTGAGE,40000,Source Verified,16-Feb,Fully Paid,n,small_business,Business,600xx,IL,13.5,0,2-Jan,1,,70,10,1,5326,0.33,23,16-Mar,2814.15,,16-Mar,0,,INDIVIDUAL,,,,0,0,10468,0,1,0,0,54,5142,32,3,4,3092,32,16100,0,0,3,4,1163,7789,39.1,0,0,165,169,9,9,3,9,,0,,0,3,5,4,9,2,9,18,5,10,0,0,0,3,100,0,1,0,32295,10468,12800,16195
Y,9000, 36 months,0.14,306.16,C,C3,Owner / CE,1 year,MORTGAGE,175000,Not Verified,16-Feb,Charged Off,n,small_business,Business,221xx,VA,18.01,1,Oct-91,0,12,,13,0,68378,0.67,30,16-Mar,306.16,,16-Oct,0,,INDIVIDUAL,,,,0,0,290328,2,3,2,2,3,43875,73,0,2,16488,71,198000,0,0,0,4,22333,341,99,0,0,128,292,18,3,5,18,,18,12,0,3,4,3,6,7,8,18,4,13,0,0,0,2,96.7,100,0,0,556741,112253,32500,59811
N,10000, 36 months,0.12,332.1,C,C1,manager,4 years,RENT,72000,Source Verified,16-Mar,Fully Paid,n,small_business,,910xx,CA,10.58,0,3-May,0,29,,7,0,5856,0.18,22,16-Apr,10010.83,,16-Mar,0,,INDIVIDUAL,,,,0,0,17239,0,1,0,0,28,11383,39,0,0,3661,28,31800,1,0,0,0,2873,25944,18.4,0,0,115,154,32,28,1,32,29,21,29,0,4,4,5,9,7,5,14,4,7,0,0,0,0,90.9,25,0,0,60669,17239,31800,28869
N,30000, 36 months,0.13,1010.68,C,C2,Nurse Aid,10+ years,MORTGAGE,85000,Source Verified,16-Mar,Fully Paid,n,small_business,,907xx,CA,8.33,0,Mar-00,1,,,17,0,24449,0.50,35,16-Apr,30610.35,,16-Sep,0,,INDIVIDUAL,,,,0,0,24449,1,0,0,0,47,0,,1,3,12882,50,49100,0,3,1,3,1630,12436,51.8,0,0,116,192,2,2,0,2,,2,,0,3,6,6,14,3,17,32,6,17,0,0,0,1,100,16.7,0,0,49100,24449,25800,0
N,6000, 36 months,0.13,202.14,C,C2,Senior Financial Analyst,4 years,OWN,65000,Source Verified,16-Mar,Fully Paid,n,small_business,Business,491xx,MI,9.42,0,4-Nov,1,68,49,9,4,2931,0.17,22,16-Apr,6123.01,,16-May,0,,INDIVIDUAL,,,,0,0,36261,1,2,0,1,14,33330,75,1,2,2414,59,17000,1,0,1,3,4533,13169,18.2,0,0,133,126,5,5,1,5,68,4,68,0,4,4,6,12,5,7,16,4,9,0,0,0,1,95,20,4,0,61244,36261,16100,44244
N,15000, 36 months,0.12,498.15,C,C1,Owner,2 years,OWN,110000,Not Verified,16-Feb,Fully Paid,n,small_business,Business,191xx,PA,6.67,0,Dec-89,2,70,,17,0,307,0.00,34,16-Apr,4769.08,,16-Apr,0,71,INDIVIDUAL,,,,0,0,25116,3,2,2,3,3,24809,82,4,6,0,25,70000,1,0,4,9,1570,65100,0,0,0,143,314,2,2,0,2,70,3,70,0,0,1,12,22,7,15,27,1,17,0,0,0,6,97,0,0,0,100448,25116,65100,30448
N,21625, 36 months,0.11,705.42,B,B4,Case Coordinator,10+ years,RENT,58000,Source Verified,16-Feb,Fully Paid,n,small_business,,211xx,MD,4.53,0,3-Mar,0,,,13,0,7687,0.14,25,16-Apr,21351.65,,16-Oct,0,,INDIVIDUAL,,,,0,0,247280,0,1,0,2,18,6282,38,1,3,5489,19,55600,3,0,8,7,19022,46813,14.1,0,0,151,155,8,8,9,8,,1,,0,3,3,8,9,6,9,10,3,13,0,0,0,3,100,0,0,0,309939,13969,54500,16739
N,17800, 36 months,0.18,645.75,D,D3,Administrative Assistant,10+ years,RENT,70000,Source Verified,16-Feb,Fully Paid,n,small_business,Business,981xx,WA,7.68,1,4-Jan,1,18,,6,0,11755,0.85,21,16-Apr,17880.06,,16-Apr,0,41,INDIVIDUAL,,,,0,0,51597,0,3,0,0,30,39842,27,0,2,2465,42,13900,0,4,1,2,8600,535,82.2,0,0,145,144,16,16,1,17,,6,18,1,1,3,1,2,14,3,6,3,6,0,0,0,0,90.5,100,0,0,124857,51597,3000,110957
Y,35000, 36 months,0.20,1300.55,E,E1,Owner,5 years,RENT,70000,Verified,16-Feb,Charged Off,n,small_business,Business,605xx,IL,32.49,0,7-Jan,1,,,13,0,16610,0.46,22,16-Apr,1300.55,,16-Dec,0,,INDIVIDUAL,,,,0,0,70775,1,2,1,1,6,54165,59,1,3,7525,52,36000,1,0,4,4,6434,3470,77.2,0,0,82,108,8,6,0,13,,2,,0,2,5,4,5,3,11,19,5,13,0,0,0,2,100,50,0,0,107497,70775,15200,71497
N,9950, 36 months,0.18,362.17,D,D5,owner,10+ years,MORTGAGE,140000,Source Verified,16-Jan,Fully Paid,n,small_business,Business,973xx,OR,22.84,0,3-May,1,79,63,13,4,7222,0.31,33,16-Apr,9805.06,,16-Aug,0,79,INDIVIDUAL,,,,0,0,145030,3,5,4,7,3,137808,88,1,5,2102,50,23500,2,5,3,12,11156,13877,28.8,0,0,132,152,1,1,1,16,79,2,79,1,6,7,6,11,19,8,13,7,13,0,0,0,5,96.8,0,3,1,171946,145030,19500,148446
Y,9650, 36 months,0.14,329.77,C,C4,Contact Representative,10+ years,MORTGAGE,52000,Not Verified,16-Jan,Charged Off,n,small_business,Business,322xx,FL,27.69,0,Feb-97,0,,113,5,1,11881,0.46,11,16-Apr,329.77,,16-Dec,0,,INDIVIDUAL,,,,0,0,201767,0,1,1,1,10,16776,84,0,1,11790,62,26000,0,1,0,2,40353,210,98.2,0,0,143,227,22,10,1,58,,,,0,1,2,1,2,4,3,6,2,5,0,0,0,1,100,100,1,0,228950,28657,12000,20000
N,25000, 36 months,0.05,752.87,A,A1,Partner,10+ years,MORTGAGE,60000,Source Verified,16-Jan,Fully Paid,n,small_business,Business,021xx,MA,1.57,0,Sep-98,0,,,6,0,3555,0.09,27,16-Apr,23842.07,,16-Dec,0,,INDIVIDUAL,,,,0,0,327074,1,0,0,1,18,0,,1,1,1981,9,40900,0,0,1,5,54512,37345,8.7,0,0,34,208,3,3,5,3,,11,,0,3,3,5,13,2,5,20,3,6,0,0,0,3,100,0,0,0,367900,3555,40900,0
Y,5000, 36 months,0.10,160.87,B,B3,Yoga Director,8 years,RENT,75000,Source Verified,16-Jan,Charged Off,n,small_business,Business,070xx,NJ,11.76,3,Feb-97,0,1,,14,0,3507,0.66,28,16-Apr,160.87,,16-Dec,0,1,INDIVIDUAL,,,,1,0,196346,0,10,2,5,7,192839,96,0,1,268,94,5300,0,0,0,6,14025,1399,26.4,1,0,126,226,13,7,2,52,1,13,1,2,2,3,3,7,15,4,11,3,14,0,0,1,2,75,0,0,0,203376,196346,1900,198076
N,20000, 36 months,0.08,630.34,B,B1,Chief Technical Officer ,5 years,MORTGAGE,75000,Not Verified,16-May,Fully Paid,n,small_business,Business,917xx,CA,3.79,0,5-Mar,0,64,,12,0,6559,0.16,24,16-May,20024.48,,16-May,0,,INDIVIDUAL,,,,0,0,232623,0,0,0,0,53,0,,0,1,2671,16,40200,1,0,1,1,21148,24705,12.1,0,0,134,131,17,17,2,29,,11,,0,4,8,5,8,4,10,16,8,12,0,0,0,0,95.7,0,0,0,287448,6559,28100,0
N,30000, 36 months,0.14,1032.05,C,C4,owner,2 years,RENT,200000,Source Verified,16-May,Fully Paid,n,small_business,Business,805xx,CO,11.95,1,Oct-92,1,19,,8,0,7737,0.39,30,16-May,30053.27,,16-Apr,0,19,INDIVIDUAL,,,,0,0,146815,1,3,1,3,4,139078,74,1,2,6097,61,19700,1,5,5,5,24469,5903,50.8,0,0,145,282,12,4,4,87,,3,,2,1,2,1,5,11,5,15,2,8,0,0,1,2,93.3,0,0,0,184277,146815,12000,164577
N,24000, 36 months,0.15,835.62,C,C5,Tuck Driver,4 years,OWN,98000,Source Verified,16-Apr,Fully Paid,n,small_business,Business,925xx,CA,10.25,0,Mar-99,2,,42,10,2,0,0.00,18,16-May,24565.72,,16-Dec,0,,INDIVIDUAL,,,,0,0,232273,2,2,0,0,36,56112,56,3,5,0,20,34200,0,0,2,5,23227,17000,0,0,0,205,125,2,2,3,2,,3,,0,0,0,2,4,3,7,12,0,10,0,0,0,3,100,0,0,2,314105,56112,17000,78619
